id,date,latitude,longitude,place_desc,title,description,source,links,filters
,2023-02-10,48.806004,38.245328,Spirne,Shelling at Spirne,"Alternate place names: Spirne, Spirnyi,Spirnye, Spirna",DEFMON,[],[]
,2023-02-10,48.575404,37.822609,Chasiv Yar,Shelling at Chasiv Yar,"Alternate place names: Chasiv Yar, Chasovoy Yar",DEFMON,[],[]
,2023-02-10,48.466055,37.957557,Kurdyumivka,Shelling at Kurdyumivka,Alternate place names: Kurdyumivka,DEFMON,[],[]
,2023-02-10,48.390424,37.85975,Toretsk,Shelling at Toretsk,Alternate place names: Toretsk,DEFMON,[],[]
,2023-02-10,48.662067,38.01909,Krasna Hora,Shelling at Krasna Hora,"Alternate place names: Krasnaya Gora, Krasna Gora",DEFMON,[],[]
,2023-02-10,48.742194,37.998773,Vasyukivka,Shelling at Vasyukivka,Alternate place names: Vasyukivka,DEFMON,[],[]
,2023-02-10,48.57022,37.91665,Ivanivske,Shelling at Ivanivske,Alternate place names: Ivanovske,DEFMON,[],[]
,2023-02-10,47.99328,37.505353,Krasnohorivka,Shelling at Krasnohorivka,Alternate place names: Krasnohorivka,DEFMON,[],[]
,2023-02-10,47.854118,37.473527,Novomykhailivka,Shelling at Novomykhailivka,"Alternate place names: Novomykhailivka, Novomykhaylivka",DEFMON,[],[]
,2023-02-10,48.173192,37.782672,Kam'yanka,Shelling at Kam'yanka,"Alternate place names: Kamyanka, Kamyanka, Kamianka, Kamianka",DEFMON,[],[]
,2023-02-10,47.665233,36.142162,Staroukrainka,Shelling at Staroukrainka,"Alternate place names: Stara Ukrainka, Staroukrainske",DEFMON,[],[]
,2023-02-10,48.481538,37.826823,Oleksandro-Shul'tyne,Shelling at Oleksandro-Shul'tyne,"Alternate place names: Oleksandro-Shultine, Aleksandro-Shultine, Oleksandro-Shultyne",DEFMON,[],[]
,2023-02-10,47.778148,37.076934,Prechystivka,Shelling at Prechystivka,"Alternate place names: Prychystivka, Prechistivka, Prychistivka",DEFMON,[],[]
,2023-02-10,47.855757,37.209317,Bohoyavlenka,Shelling at Bohoyavlenka,Alternate place names: Bogoyavlenka,DEFMON,[],[]
,2023-02-10,48.357019,37.926598,Pivdenne,Shelling at Pivdenne,"Alternate place names: Pivdenne, Yuzhniy",DEFMON,[],[]
